userid	cond	rnd	qnum	store1a	store1b	store1c	store1d	store2a	store2b	store2c	store2d	store3a	store3b	store3c	store3d	store4a	store4b	store4c	store4d	tlag	tlog	cor	choice
11	2	1	22	40.54	38.19	72.95	81.71	41.65	37.02	80.38	88.09	48.63	36.03	76.67	81.45	39.74	43.37	79.12	81.51	210	5.347107531	0	3
11	2	1	23	72.34	99.89	90.83	103.27	79.51	94.95	90.98	105.69	81.5	94.58	93.44	110.26	64.1	100.98	88.09	105.76	406	6.00635316	1	4
11	2	1	24	83.66	63.22	47.29	45.76	84.77	59.36	47.78	46.96	84.41	51.48	41.34	45.01	90.94	50.86	45.39	42.74	319	5.765191103	1	3
11	2	1	25	34.28	23.75	50.84	62.07	26.09	31.84	49.47	72.05	27.43	36.86	51.68	55.62	30.2	24.13	53.47	54.66	234	5.455321115	0	2
11	2	1	26	95.34	83.31	28.44	47.73	98.76	91.47	18.36	55.02	96.48	89.54	18.68	47.15	88.98	81.91	18.95	50.08	237	5.468060141	0	2
11	2	1	27	50.57	105.86	79.12	39.34	51.89	100.75	80.15	32.23	48.56	93.04	77.17	38.24	48.63	101.22	82.28	42.41	351	5.860786224	0	2
11	2	1	28	78.4	68.5	38.69	98.03	78.56	66.51	26.52	95.81	73.9	66.48	37.22	94.54	77.05	65.93	32.44	103.31	322	5.774551546	0	1
11	2	1	29	59.25	117.34	79.42	57.86	49.06	115.91	70.9	62.11	55.18	120.51	75.89	57.15	55.79	112.73	76.62	61.15	323	5.777652323	0	4
11	2	1	30	67.6	48.49	74.73	99.29	73.04	47.32	83.09	105.07	59.69	48.27	81.9	116.05	74.28	52.01	86.94	104.42	230	5.438079309	0	3
11	2	1	31	109.29	13.99	68.9	107.58	116.71	26.27	69.01	114.76	116.52	21.32	65.28	108.55	117.02	23.85	60.06	110.2	179	5.187385806	0	4
11	2	1	32	83.63	32.71	31.71	66.28	83.03	26.42	23.35	60.72	80.78	30.57	24.12	62.71	75.75	38.92	21.97	67.58	327	5.789960171	0	1
11	2	2	1	100.62	36.32	48.19	35.63	98.88	35.46	39.24	30.46	100.74	32.22	54.21	25.81	96.63	34.45	57.58	26.09	81	4.394449155	0	1
11	2	2	2	73.12	110.23	23.23	76.01	59.28	106.04	14.99	72.86	70.06	108.72	13.73	67.76	72.45	105.14	15.49	69.15	186	5.225746674	0	4
11	2	2	3	54.07	99.51	51.33	46.35	54.54	101.77	43.74	36.65	54.94	94.65	42.96	39.53	49.82	99.1	37.61	32.51	132	4.882801923	0	3
11	2	2	4	58.63	39.84	51.29	97.62	72.48	38.08	58.17	93.79	54.34	37.74	46.98	86.62	61.34	38.82	43.9	87.68	116	4.753590191	0	2
11	2	2	5	111.43	33.44	25.83	111.24	117.6	38.22	42.15	117.97	117.16	34.72	35.3	117.46	112.77	37.05	32.02	110.35	169	5.129898715	0	4
11	2	2	6	38.69	70	116.36	92.49	35.27	74.13	117.47	87.99	24.39	62.35	106.59	96.89	23.29	67.79	110.04	83.89	182	5.204006687	0	3
11	2	2	7	75.44	92.66	32.6	89	80.92	92.47	35.5	86.25	76.36	93.26	28.39	84.56	82.58	92.22	26.11	87.69	203	5.313205979	1	3
11	2	2	8	17.72	98.88	47.33	24.15	22.21	105.47	41.91	22.13	12.89	106.96	39.71	18.37	13.11	109.6	43.17	20.7	204	5.318119994	0	1
11	2	2	9	69.74	96.42	106.02	65.53	66.27	96.92	106.3	60.5	60.47	95.75	100.84	62.96	67.28	93.24	108.61	59.79	626	6.439350371	0	1
11	2	2	10	116.1	54.3	81.54	38.34	111.81	53.07	76.95	35.08	114.48	55.66	77.92	33.05	107.58	51.45	77	33.23	214	5.365976015	0	1
11	2	2	11	26.95	88.67	51.87	23.89	36.39	88.61	60.47	16.92	36.33	92.38	62.72	11.98	35.84	83.43	61.71	19.1	200	5.298317367	0	4
11	2	2	12	70.17	73.8	84.76	52.98	66.52	67.58	84.5	47.86	75.72	72.23	87.24	55.09	65.37	70.25	79.68	58.76	165	5.105945474	1	2
11	2	2	13	58.59	108.01	57.42	84.37	64.93	109.3	67.38	78.91	59.73	108.03	65.5	78.16	66.18	100.78	59.03	75.26	217	5.379897354	0	3
11	2	2	14	92.17	24.6	41.2	108.18	82.71	29.34	42.87	103.72	83.11	30.13	36.14	100.85	97.12	22.6	43.79	96.78	142	4.955827058	0	4
11	2	2	15	75.15	107.77	101.32	44.39	86.5	105.43	99.82	47.03	75.4	102.26	112.13	45.17	73.14	97.97	103.6	45.1	196	5.278114659	1	4
11	2	2	16	50.29	13.59	63.51	76.23	50.7	18.39	66.85	88.07	53.12	22.52	65.49	78.88	45.41	14.76	56.36	78.97	159	5.068904202	0	1
11	2	2	17	24.03	105.93	31.7	68.62	26.63	98.1	44.04	79.05	26.99	99.31	36.96	73.92	28.52	102.38	47.94	82.62	197	5.283203729	0	4
11	2	2	18	78.68	57.38	72.76	101.61	74.75	64.43	67.64	108.53	72.1	62.24	68.65	99.9	74.72	52.72	78.85	109.17	229	5.433722004	1	3
11	2	2	19	99.59	65.2	56.12	88.86	101.8	73.15	49.72	89.92	87.11	68.12	55.79	82.48	101.04	66.07	43.95	89.04	275	5.616771098	0	1
11	2	2	20	47.38	22.24	108.48	51	43.05	26.88	112.89	54.89	46.39	11.83	121.38	56.84	43.52	22.11	119.14	53.43	196	5.278114659	0	4
11	2	2	21	105.11	22.93	83.55	84.13	97.42	21.05	87.97	81.79	97.29	22.31	95.88	86.11	106.37	25.79	93.02	92.74	239	5.476463552	1	2
11	2	2	22	88.42	64.14	34.64	103.25	89.73	64.82	48.68	99.13	102.24	63.49	41.89	94.81	94.17	68.29	51.58	99.99	294	5.683579767	0	3
11	2	2	23	102.81	41.19	24.43	110.64	97.84	37.01	21.34	103.97	108	40.2	25.89	107.27	107.09	32.97	15.93	99.29	177	5.176149733	1	4
11	2	2	24	35.74	108.74	69.62	119.4	34.87	107.04	79.54	105.42	35.84	99.13	70.83	111.09	43	106.29	66.93	109.26	419	6.03787092	0	2
11	2	2	25	71.86	46.73	88.62	71.78	76.35	50.88	83.83	82.99	78.67	44.78	85.93	75.59	84.75	43.74	94.93	81.47	328	5.793013608	0	2
11	2	2	26	115.21	61.36	86.26	52.69	104.46	62	88.42	50.11	101.32	70.35	79.28	45.18	112.27	60.81	84.41	53.86	250	5.521460918	1	3
11	2	2	27	50.36	110.98	57.43	78.11	45.17	117.24	50.85	72.53	47.64	113.73	57.57	67.89	47.82	108.91	51.71	69.21	386	5.95583737	0	2
11	2	2	28	44.65	17.05	21.83	48.54	40.45	17.85	16.72	51.76	52.75	18.42	20.77	58.74	38.16	16.27	19.67	48.57	209	5.342334252	0	2
11	2	2	29	35.34	70.07	43.6	37.41	35.46	65.33	49.29	43.5	44.19	79.44	35.8	38.2	51.72	73.97	37.36	39.67	346	5.846438775	0	4
11	2	2	30	101.82	30.52	106.04	54.55	110.72	22.44	114.27	51.09	104.13	34.31	111.25	55.63	110.81	26.76	114.77	50.38	273	5.609471795	1	1
11	2	2	31	72.79	104.81	101.3	84.62	69.32	99.09	109.44	83.96	66.55	98.95	97.03	87.72	68.79	89.1	112.46	87.16	833	6.725033642	0	4
11	2	2	32	18.42	16.18	45.04	70.53	29.09	23.3	49.35	81.03	19.42	18.67	49.11	71.9	24.28	16.05	48.26	78.46	223	5.407171772	0	4
11	2	3	1	23.6	20.69	72.15	81.89	29.79	17.14	75.03	89.18	31.89	24.03	69.14	84.82	30.32	19.2	78.98	93.2	93	4.532599493	1	1
11	2	3	2	80.07	18.11	91.41	38.45	75.31	17.64	98.66	36.68	70.49	21.85	83.2	35.77	76.59	17.62	95.07	34.17	432	6.068425588	0	1
11	2	3	3	75.64	27.89	77.2	78.54	70.85	32.78	83.26	71.62	72.3	21.1	77.43	75.1	76.54	23.8	80.35	76.49	300	5.703782475	0	2
11	2	3	4	26.35	100.1	74.18	12.48	25.09	102.37	77.36	25.34	29.15	103.87	74.78	17.67	29.67	104.61	76.63	21.04	182	5.204006687	0	4
11	2	3	5	83.68	41.31	46.95	61.07	87.4	44.02	44.72	60.9	74.82	41.29	44.64	61.3	88.61	47.17	43.44	52.92	227	5.424950018	0	1
11	2	3	6	60.75	55.61	108.79	38.98	60.04	44.08	109.01	26.49	67.18	54.45	107.56	40.2	61.4	49.87	102.74	34.83	198	5.288267031	0	3
11	2	3	7	79.46	60.49	91.31	93.21	75.3	63.55	93.48	93.87	69.42	60.4	88.94	93.39	78.62	58.24	88.56	95.56	172	5.147494477	1	3
11	2	3	8	52.72	87.79	59.15	46.5	51.74	89.05	49.66	41.8	56.24	93.01	57.7	38.17	55.61	95.93	61.7	33.43	265	5.579729826	1	2
11	2	3	9	81.63	9.67	19.66	25.82	81.33	18.73	27.03	24.52	79.02	8.94	23.96	18.51	79.62	10.63	29.44	24.69	168	5.123963979	0	2
11	2	3	10	15.65	59.5	75.6	15.77	21.69	53.24	77.75	25.13	17.99	58.61	73.77	28.54	22.05	55	80.2	16.97	163	5.093750201	1	1
11	2	3	11	99.8	87.81	74.8	27	103.22	91.64	76.29	24.06	99.47	92.09	68.74	20.97	105.58	92.64	83.26	27.74	188	5.236441963	0	2
11	2	3	12	46.85	23.25	64.9	19.7	41.34	22.32	64.18	22.52	39.99	30.06	62.79	20.5	36.41	18.99	63.4	17.73	157	5.056245805	1	4
11	2	3	13	24.5	38.52	32.97	62	29.63	39	35.64	60.88	23.55	39.73	21.78	62.29	31.41	37.29	30.63	59.37	158	5.062595033	0	1
11	2	3	14	37.57	81.27	20.26	103.41	32.07	91.62	22.29	92.2	33.74	85.81	18.23	95.39	30.33	89.5	24.87	100.21	152	5.023880521	1	3
11	2	3	15	17.2	30.11	93.84	53.27	20.16	22.27	102.86	60.56	20.98	26.41	101	51.18	12.97	22.25	95.62	51.39	204	5.318119994	0	2
11	2	3	16	103.02	75.46	91.33	64.19	105.19	66.16	97.84	64.6	104.69	64.02	89.97	66.77	111.37	67.79	96.64	71.06	136	4.912654886	0	4
11	2	3	17	38.32	25.57	68.54	100.46	45.35	17.56	79.2	95.86	50.44	21.39	75.76	103.52	47.03	29.9	75.7	102.81	223	5.407171772	0	2
11	2	3	18	102.31	117.41	114.19	81.52	97.96	120.68	105.05	72.32	92.21	112.52	104.37	80.37	103.04	104.84	109.17	79.14	842	6.735780014	0	4
11	2	3	19	17.22	102.6	49.6	20.38	16.67	105.68	59.35	26.73	21.52	98.59	48.88	32.38	21.32	107.3	51.81	29.85	209	5.342334252	1	1
11	2	3	20	30.53	118.4	63.37	27.07	31.58	109.57	54.57	20.15	29.63	118.86	54.17	24.1	24.78	121.3	61.36	15.51	491	6.196444128	1	2
11	2	3	21	72.16	23.57	21.03	67.06	74.53	22.13	19.41	60.31	74.75	26.65	26.59	68.04	74.51	26.19	28.3	65.89	353	5.866468057	1	2
11	2	3	22	58.67	59.39	21.82	114.7	61.18	56.92	23.47	115.09	50.2	60.24	14.61	118.08	61.97	57.52	20.53	113.39	427	6.056784013	1	3
11	2	3	23	100.39	85.54	58.26	81.69	108.28	77.11	66.94	80.93	101.62	88.86	58.56	87.94	106.19	83.02	63	81.5	582	6.366470448	0	3
11	2	3	24	113.67	91.05	20.94	30.46	105.82	86.51	15.28	36.29	119.12	93.58	15.31	34.6	113.93	83.52	10.46	28.21	122	4.804021045	0	1
11	2	3	25	108.06	30.25	48.14	22.66	106.22	25.47	50.92	30.09	104.52	23.24	47.92	26.72	106.9	28.9	47.13	34.45	93	4.532599493	0	4
11	2	3	26	68.43	33.71	70.56	72.58	58.51	41.82	79.95	75.12	63.51	45.45	70.37	78.13	61.92	39.01	69.36	67.56	126	4.836281907	0	3
11	2	3	27	32.26	54.15	50.98	105.55	35.56	46.79	61.79	96.51	36.83	52.47	51.22	96.21	26.12	49.64	53.37	99.69	115	4.744932128	0	1
11	2	3	28	71.76	17.4	48.96	91.47	66.2	25.99	43.89	85.13	62.45	12.15	48.31	95.36	69.13	13.41	39.88	81.25	305	5.720311777	0	2
11	2	3	29	41.05	18.35	50.52	83.13	42.46	15.3	51.42	76.06	30.81	13.91	46.44	85.42	42.26	15.75	55.84	79.36	227	5.424950018	1	3
11	2	3	30	98.41	21.85	92.84	49.74	91.76	11.86	91.93	42.03	96.94	19.64	92.08	55.14	100.69	15.81	99.09	51.26	320	5.768320996	1	2
11	2	3	31	53.39	18.67	113.94	85.34	44.03	19.95	105.09	81.83	47.69	19.63	113.02	90.56	42.67	22.41	110.08	82.78	223	5.407171772	0	4
11	2	3	32	39.07	86.44	27.36	92.2	34.01	81.97	27.34	93.76	43.92	93.56	33.08	98.51	33.67	74.98	28.53	91.76	136	4.912654886	0	1
11	2	4	1	68.39	60.28	44.09	65.82	67.71	68.54	51.82	60.43	76.27	69.28	41.15	68.7	69.08	69.39	46.14	59.1	433	6.070737728	0	2
11	2	4	2	39.32	24.32	108.31	59.4	44.27	16.84	103	60.26	39.76	25.6	105.13	59.34	50.37	21.55	103.32	64.13	200	5.298317367	0	1
11	2	4	3	94.92	72.15	91.05	79.77	93.55	73.46	95.53	84.32	82.82	71.8	94.56	81.14	93.85	77.2	98.33	81.83	291	5.673323267	0	1
11	2	4	4	105.54	84.73	50.8	27.09	111.81	90.38	55.03	25.01	102.09	93.39	46.72	31.32	107.05	87.85	50.6	16.65	324	5.780743516	0	1
11	2	4	5	99.17	100.51	110.71	65.4	108.16	98.33	107.05	69.91	108.32	105.86	110.02	73.44	110.88	106.24	109.94	70.69	318	5.762051383	1	1
11	2	4	6	40.59	21.36	60.26	81.09	27.79	22.68	52.7	90.16	33.59	20.59	63.74	85.91	36.78	22.31	66.25	92.11	324	5.780743516	1	2
11	2	4	7	17.59	113.51	73.96	16.28	24.12	114.42	83.39	13.89	23.46	115.85	82.67	15.38	28.97	104.05	84.22	18.59	190	5.247024072	1	1
11	2	4	8	78.13	93.47	71.05	17.29	76	96.1	70.5	24.71	74.18	92.68	76.82	15.23	71.58	93.55	73	15.76	407	6.008813185	1	4
11	2	4	9	72.55	49	100.14	28.11	69.92	42.71	110.03	25.1	64.87	45.87	106.09	28.96	58.88	47.85	98.89	30.63	559	6.326149473	0	3
11	2	4	10	62.76	115	30.97	28.78	55.17	107.7	20.35	24.87	54.71	109.85	20	28.63	62.44	114.9	15.04	30.06	370	5.913503006	0	3
11	2	4	11	64.38	24.51	79.02	68.84	60.02	23.85	90.85	74.59	55.12	29.69	92.32	68.33	63.31	24.53	86.1	74.13	251	5.525452939	1	1
11	2	4	12	90.01	44.57	41.26	105.8	98.94	49.24	31.63	114.03	96.97	46.98	40.79	112.6	99.26	44.35	47.97	114.65	282	5.641907071	1	1
11	2	4	13	31.33	57.25	50.8	38.56	34.78	58.18	58.19	35.6	28.72	50.79	47.8	39.86	36.89	50.7	52.43	38.55	224	5.411646052	0	1
11	2	4	14	72.36	95.49	52.6	95.82	75.93	97.15	51.13	102.77	83.68	103.61	50.1	100.86	72.9	94.58	60.86	96.35	452	6.11368218	0	3
11	2	4	15	31.6	104.12	78.13	59.57	28.54	95.73	80.82	63.54	32.12	102.31	73.44	72.1	36.19	102.62	78.91	65.57	126	4.836281907	1	2
11	2	4	16	89.23	45.76	75.1	103.47	93.67	52.55	77.1	108.85	88.5	54.01	82.3	114.28	85.14	52.97	86.19	119.18	461	6.133398043	0	4
11	2	4	17	119.31	101.73	22.1	26.34	109.54	106.22	23.95	26.02	113.68	117.1	24.56	25.76	109.71	106.26	20.98	19.04	163	5.093750201	0	2
11	2	4	18	76.95	108.06	48.32	110.58	78.64	111.26	49.21	117.21	74.04	107.11	43.2	110.96	78.7	111.57	49.89	114.34	268	5.590986981	1	3
11	2	4	19	24.53	116.35	102.23	25.56	19.98	109.05	99.23	22.83	23.73	107.69	100.95	23.79	9.89	107.29	90.56	35.01	234	5.455321115	1	4
11	2	4	20	98.83	69.76	51.26	56.16	108.24	63.77	50.59	60	111.83	66.53	50.03	56.14	107.25	67.14	51.33	60.21	272	5.605802066	1	1
11	2	4	21	33.27	13.94	106.48	16.08	35.99	13.31	94.74	25.97	34.53	16.3	96.8	21.28	33.12	11.04	95.96	21.72	428	6.059123196	1	4
11	2	4	22	75.07	22.94	112.32	36.41	80.83	25.26	117.77	26.55	72.34	20.58	111.47	32.29	75.4	21.11	113.3	32.38	339	5.826000107	1	3
11	2	4	23	117.47	90.16	81.24	118.95	117.64	87.78	85	119.59	114.26	94.82	74.77	105.52	109.72	82.54	81.97	109.57	377	5.932245187	1	4
11	2	4	24	16.86	64.33	33.39	14.72	15.69	55.61	30.75	13.37	24.99	62.26	27.64	19.03	18.66	59.6	32.05	13.61	242	5.488937726	0	4
11	2	4	25	55.02	110.36	91.34	117.38	60.93	100.93	92.97	110.06	57.07	104.85	95.94	116.01	53.93	106.51	79.79	111.19	299	5.700443573	1	4
11	2	4	26	116.28	105.37	99.76	31.67	103.06	109.38	102.97	34.15	108.12	109.25	90.1	33.21	101.53	103.43	95.26	33.84	178	5.18178355	0	1
35	2	1	1	46.92	48.75	115.54	11.64	50.68	49.99	113.14	18.1	50.92	50.82	108.33	24.09	48.14	55.65	110.66	15.56	459	6.12905021	1	1
35	2	1	2	69.45	18.55	89.05	67.99	69.21	21.36	93.36	72.39	71.5	26.26	95.84	69.6	70.38	21.73	94.61	64.65	776	6.65415252	1	1
35	2	1	3	83.64	59.88	40.18	88.79	85.82	48.16	32.39	87.93	81.38	48.08	40.64	92.7	88.93	57.17	32.61	92.2	735	6.599870499	1	2
35	2	1	4	21.99	79.49	48.32	93.74	16.93	78.17	44.77	96.68	17.36	77.57	38.92	100.12	11.46	79.26	42.99	92.19	829	6.720220155	0	2
35	2	1	5	29.15	44.1	52.03	78.92	34.3	40.38	57.45	78.25	32.85	38.47	60.5	77.45	31.54	39.03	46.98	78.74	898	6.800170068	0	3
35	2	1	6	69.05	96.38	88.69	85.22	62.28	90.96	79.46	78.29	65.09	92.99	78.57	87.65	65.78	97.18	78.38	84.57	696	6.54534966	1	2
35	2	1	7	89.15	85.82	91.22	41.82	89.95	84.18	86.6	41.98	75.29	82.65	92.31	44.39	86.04	85.01	88.28	44.37	772	6.64898455	1	3
35	2	1	8	55.55	64.73	65.77	64.57	68.31	58.35	71.16	72.47	55.86	64.29	66.66	70.58	66.62	60.37	74.75	73.31	668	6.504288174	1	1
35	2	1	9	65.26	49.13	66.35	49.47	62.51	56.77	66.55	54.25	72.57	50.96	66.91	61.75	58.43	58.58	69.49	60.44	510	6.234410726	1	1
35	2	1	10	113.33	104.72	104.61	31.1	108.99	103.65	107.05	21.67	111.76	97.89	108.49	24.5	102.21	98.39	103.54	27.12	547	6.304448802	1	4
35	2	1	11	71.06	87.81	50.44	56.05	77.68	85.07	62.44	52.33	82.51	93.42	61.57	49.95	80.66	92.89	51.99	50.49	517	6.248042875	0	3
35	2	1	12	43.18	111.23	51.71	111.35	39.22	114.87	47.74	115.53	29.84	114.92	46.8	112.16	35.71	115.48	53.61	111.88	333	5.80814249	0	1
35	2	2	1	14.83	23.82	84.99	29	12.87	14.68	85.3	30.89	22.06	21.19	91.77	33.52	17.21	20.58	83.27	40.67	394	5.976350909	1	2
35	2	2	2	85.67	84.82	99.75	93.61	78.32	94.81	104.83	96.07	81.34	89.37	102.32	91.48	72.1	84.77	98.64	87.67	555	6.318968114	1	4
35	2	2	3	26.93	116.73	53.82	94.95	22.71	110.46	63.2	91.74	35.34	107.21	61.01	95.71	31.77	107.31	58.25	83.75	874	6.773080376	1	4
35	2	2	4	31.31	19.16	73.2	73.86	34.87	18.51	63.8	67.26	37.56	11.36	77.14	76.59	34.87	17.1	77.78	72.81	657	6.487684019	0	4
35	2	2	5	19.09	18.9	61	97.26	20.47	24.26	56.38	99.31	21.53	18.14	59.59	103.07	17.35	13.98	59.74	98.57	605	6.405228458	1	4
35	2	2	6	90.29	30.85	92.07	31.59	86.17	22.39	83.68	35.32	93.08	24.49	91.49	36.1	84.64	19.66	88.17	28	486	6.186208624	1	4
35	2	2	7	31.85	43.95	112.77	91.22	26.81	42.85	111.2	81.96	27.42	43.87	109.98	87.1	38.86	43.6	108.34	89.78	685	6.529418838	1	2
35	2	2	8	119.85	52.12	115.57	81.91	107.61	41.82	111.8	78.49	111.42	47.24	110.81	81.36	113.02	44.04	103.41	87.71	454	6.118097198	1	2
35	2	2	9	76.67	20.2	88.81	119.26	81.33	17.65	85.46	115.28	80.73	18.96	88.11	116.5	76.16	23.85	82.12	109.19	681	6.523562306	1	4
35	2	2	10	47.19	74.87	5.34	92.11	60.5	71.8	13.93	87.19	52.01	77.76	19.01	85.91	57.58	71.52	15.5	88.61	829	6.720220155	1	1
35	2	2	11	73.98	40.63	20.23	21.02	84.57	34.78	30.41	22.03	80.12	42.66	23.35	17.17	84.02	37.09	26.55	25.82	504	6.222576268	1	1
35	2	2	12	113.45	80.7	99.46	31.68	122.12	77.07	104.27	34.02	120.25	73.9	108.41	35.49	111.84	83.07	104.91	39.56	562	6.33150185	0	3
35	2	2	13	93.11	52.95	69.59	103.34	88.01	45.07	70.72	112.17	89.19	48.9	62.51	102.18	94.19	50.4	66.57	105.88	428	6.059123196	1	3
35	2	2	14	53.69	110.88	102.46	82.28	43.64	112.02	103.48	73.78	47.44	113.18	99.79	78.03	55.23	109.35	100.55	81.6	254	5.537334267	1	2
35	2	3	1	110.36	49.51	48.87	30.22	114.05	53.99	54.51	32.83	116.48	46.3	49.82	41.79	107.3	45.51	58.55	32.75	628	6.442540167	1	1
35	2	3	2	76.92	116.37	45.29	87.78	80.2	110.75	48.64	93.45	70.85	112.81	42.36	83.61	73.13	110.69	49.73	87.97	667	6.502790046	1	3
35	2	3	3	66.96	77.39	17.51	22.87	66.05	91.75	23.33	18.34	65.46	88.17	26.96	23.46	62.98	78.87	20.29	27	614	6.419994928	1	1
35	2	3	4	76.08	67.85	105.36	84.21	60.86	77.04	103.27	92.21	67.67	69.71	97.76	84.55	66.87	77.13	108.23	84.08	954	6.860663671	1	3
35	2	3	5	107.06	48.32	80.37	79.67	118.29	53.21	82.17	90.21	104.55	52.52	83.05	81.82	111.75	51.59	83.02	86.4	726	6.587550015	1	1
35	2	3	6	54.05	75.63	42.49	109.81	58.64	74.34	47.34	111.4	53.03	80.46	38.08	105.33	53.7	78.38	50.27	107.55	996	6.903747258	1	3
35	2	3	7	39.76	98.75	79.75	56.21	32	97.93	75.45	57.14	47.1	92.03	84.64	48.7	45.09	99.5	81.43	55.91	638	6.458338283	1	2
35	2	3	8	29.65	89.77	84.96	65	20.48	75.83	87.22	64.58	29.99	81.35	85.84	72.6	26.81	83.84	78.48	78.16	629	6.444131257	1	2
35	2	3	9	79.11	29.8	115.4	65.24	75.34	30.17	107.05	65.03	67.38	34.07	111.72	73.12	75.41	33.08	113.62	67.66	840	6.733401892	1	2
35	2	3	10	27.64	39.96	29.48	92.39	29.25	34.33	17.77	97.47	25.57	38.33	19.99	85.24	25.33	32.61	33.95	87.91	548	6.306275287	1	3
35	2	3	11	72.07	97.27	112.48	96.71	73.41	108.85	110.27	96.94	80.64	100.7	117.71	91.27	76.06	107.52	111.16	100.98	447	6.102558595	1	1
35	2	3	12	68.7	25.62	31.19	46.76	73.77	22.38	32.25	58	70.7	27.08	35.94	54.28	74.34	33.47	36.21	50.95	365	5.899897354	1	1
35	2	4	1	20.55	21.67	73.62	97.77	28.24	27.61	67.84	93.15	23.02	18.67	69.49	96.55	31.33	32.7	69.03	102.37	474	6.161207322	1	3
35	2	4	2	109.48	65.84	63.68	65.12	108.81	62.2	62.37	56.27	116.27	62.92	61.52	62.97	104.83	64.89	63.21	63.66	624	6.436150368	1	2
35	2	4	3	63.42	38.19	110.87	72.75	56.81	34.74	99.95	71.09	71.64	39.42	97.35	69.52	56.44	43.17	105.67	65.55	590	6.380122537	1	2
35	2	4	4	72.54	79.39	98.97	66.62	75.05	85.68	98.27	64.58	65.09	80.88	99.01	66.71	73.76	85.01	101.35	64.56	631	6.447305863	1	3
35	2	4	5	26.45	76.68	115.72	113.14	15.04	83.26	108.21	105.42	24.52	79.06	115.03	107.96	27.56	78.18	102.93	111.4	740	6.606650186	1	2
